Photo Name,Concentration,Area,Min distance,Mean distance,Max distance,Standart deviation
30108,12.5,505910.28509284445,0,21.21991701244813,37,9.086226957602548
30829,12.5,618734.4892171392,0,41.67191383595692,73,14.866934722250509
50012,12.5,435558.6720771378,0,15.237327188940093,33,7.0030532017401965
50522,12.5,401269.9514375772,0,13.684270952927667,27,5.161699284990754
40976,12.5,260776.60779646604,0,44.11882352941176,71,14.684405446656644
40707,12.5,106463.7385497868,0,33.731808731808734,53,11.19830727912386
40078,12.5,269971.8308543358,0,25.929873772791023,45,10.52536465430468
50048,12.5,448246.5222098701,0,15.599783080260304,31,6.208359765064248
30857,12.5,406669.6249047648,0,55.04807692307692,83,16.989276297779373
22077,12.5,365805.037361272,0,23.14015151515152,35,7.195102429218236
30169,12.5,455995.2112279094,0,20.19707207207207,41,9.732602426165194
50417,12.5,393705.8383513051,0,7.870145631067961,21,4.331402828672079
50462,12.5,460331.029370253,0,13.143179255918827,27,5.039283810634638
40948,12.5,231979.38703804844,0,34.00520156046814,53,12.963085490249371
30073,12.5,447394.4058352043,0,19.74263038548753,43,10.379673200867604
50368,12.5,398682.2751415776,0,21.41399762752076,41,7.059022043033127
50334,12.5,434624.7799065276,0,10.412031782065837,23,4.99482507037698
40221,12.5,122742.01917579524,0,61.596866096866094,89,18.99088524456886
42161,12.5,151435.32657309447,0,7.347107438016529,16,4.358824513239481
50086,12.5,408032.620403845,0,12.185270425776755,28,5.634552644171708
30807,12.5,506474.4883769889,0,51.519394512772,78,15.078848343698828
31213,12.5,370302.5094792578,0,69.77551020408163,104,24.562073792601115
30981,12.5,437804.6600455979,0,68.2173058013766,99,21.40261095224488
40071,12.5,281874.5196974424,0,29.05427408412483,46,11.60544420486255
31305,12.5,368840.9977195964,0,54.37316798196167,87,20.365695049132004
31217,12.5,385634.07787425,0,81.54564102564103,119,26.96394019320864
22149,12.5,412623.5357238031,0,20.23515439429929,36,5.961419850913894
22120,12.5,373089.38539287774,0,31.19212410501193,47,8.599000054197695
30892,12.5,457401.92707613646,0,73.39376218323586,101,20.69755567675024
30846,12.5,450147.9310475783,0,58.391389432485326,84,17.825294925059943
50003,12.5,465063.8436959724,0,18.068852459016394,31,6.762695997388545
30791,12.5,425582.1711379104,0,56.93561786085151,84,17.96598864473464
40147,12.5,256210.70755738465,0,20.41344778254649,36,8.419059512619574
50441,12.5,375895.0254657495,0,15.108721624850658,28,5.667942754497961
22071,12.5,355153.53598367184,0,68.30421052631579,95,19.0596593319612
30895,12.5,444345.5458269899,0,55.02231237322516,82,17.6157864479076
31240,12.5,357726.6454919014,0,65.77183406113537,102,22.945381163178705
30974,12.5,420241.88290467847,0,50.42677824267783,77,16.772096350191656
41003,12.5,231870.94274788053,0,36.42231075697211,58,12.693532624546071
30909,12.5,429160.82278843946,0,72.00776699029126,106,21.69027203238609
31275,12.5,367304.690701684,0,53.15995397008055,78,18.42294206890666
50149,12.5,499512.86753766186,0,19.43522267206478,37,7.080283841937479
22130,12.5,381580.2857848972,0,23.992874109263656,47,8.886587964946719
31220,12.5,373618.8721673297,0,86.43076923076923,125,30.269610332224204
50133,12.5,436409.926453982,0,57.46492048643592,85,14.12883174078593
22114,12.5,380557.77234376327,0,32.24245810055866,56,11.678389849995073
40022,12.5,295165.6961648022,0,26.611995104039167,47,10.87584335693459
